bldngId,bldngTy,mxOccpn,units,region,geometry
149,Commercial,NA,NA,Central,"list(c(-1541.70467674166, -1541.32472784622, -1632.36921151971, -1631.65777880251, -1542.08621745848, -1541.70467674166, 4577.62940270224, 4537.6287840266, 4535.76164570977, 4619.96727438924, 4617.79760665193, 4577.62940270224))"
150,Commercial,NA,[434],East,"list(c(815.376823943564, 775.233697609535, 778.421677309605, 826.727063510091, 815.376823943564, 4065.30659708884, 4062.90755235716, 4135.81376389182, 4144.20592661674, 4065.30659708884))"
151,Commercial,NA,"[861,885]",Central,"list(c(-2158.2886069165, -2150.70489335044, -2244.17695700779, -2240.81192498418, -2244.74558461452, -2319.3512628025, -2319.3347545067, -2158.2886069165, 5147.91426507112, 5064.97653531845, 5074.07943628612, 5108.63287025602, 5074.11849285771, 5077.10997240111, 5147.32628884373, 5147.91426507112))"
152,Residental,16,"[105,110,139,149,324,339]",South,"list(c(90.4284905416569, 130.428302851902, 130.160689868195, 90.1608775579508, 90.4284905416569, 552.942833932728, 552.82029763116, 465.46276371588, 465.585300017447, 552.942833932728))"
153,Residental,5,"[85,259]",South,"list(c(-1541.77371165791, -1539.52356311133, -1594.90391998757, -1594.80218033844, -1536.08358531467, -1539.93383089536, -1634.44126983914, -1635.28314229189, -1541.77371165791, 1685.70737008649, 1645.77070984157, 1642.65041814042, 1632.45880685624, 1626.78041451854, 1586.96615063023, 1596.10550958349, 1680.43877456194, 1685.70737008649))"
154,Commercial,NA,[380],South,"list(c(70.4263782249725, 67.5146273018505, 52.1853763553312, 12.2806311580436, 27.5543428104848, 28.0520284761938, 68.0455916068879, 70.4263782249725, 553.004108841915, 375.561798815844, 151.512251269454, 154.27111167541, 377.502159009198, 684.978832532856, 685.696403512748, 553.004108841915))"
155,Commercial,NA,NA,North-west,"list(c(-3646.94047502834, -3642.11299329801, -3731.84648474968, -3725.32226822878, -3685.43244052666, -3688.34581737288, -3646.94047502834, 6100.34755676293, 6060.6399325562, 6049.73052159958, 6137.45253276384, 6134.48577596636, 6095.31367378203, 6100.34755676293))"
156,Commercial,NA,[1315],Central,"list(c(-1284.45389439025, -1280.33830364987, -1162.5539034021, -1164.51386946707, -1261.77651913332, -1372.1820727918, -1460.12525774851, -1450.13028887958, -1365.08650961106, -1202.42626194152, -1201.75443731922, -1284.45389439025, 5384.26284714729, 5424.05055772302, 5411.86708750052, 5221.38013378422, 5218.7000258196, 5230.12439650888, 5252.81904412633, 5291.5501762723, 5269.60375025299, 5260.35062699519, 5375.70851932016, 5384.26284714729))"
157,Residental,3,"[913,1146]",Central,"list(c(-552.311314366767, -549.512699150978, -640.451636903115, -640.333359857673, -635.244215970729, -654.702385214595, -649.898128904322, -554.463263597398, -552.311314366767, 6301.13047424004, 6261.122024036, 6261.39092493338, 6301.39075006476, 6301.3757017764, 6303.72979380143, 6343.44023476228, 6331.89431528173, 6301.13047424004))"
158,Residental,6,"[499,708]",Central,"list(c(-1203.07043369483, -1229.97374390194, -1232.12290992452, -1161.65011484288, -1163.1480879695, -1203.07043369483, 4357.53515659335, 4356.52723010466, 4413.89220745228, 4415.33838371281, 4353.86094054582, 4357.53515659335))"
159,Residental,NA,NA,South,"list(c(680.435401187749, 655.91123773682, 646.017329318076, 685.778956964802, 692.456721113335, 708.746573790574, 714.035966855283, 811.093590730402, 821.115897992812, 680.435401187749, 1452.0187914341, 1456.74943680802, 1546.97032415474, 1551.33071024809, 1490.43730175127, 1487.29503284723, 1524.14120227712, 1510.20824993647, 1425.43241832065, 1452.0187914341))"
160,Commercial,64,"[1748,1763,1801]",North-west,"list(c(-3160.10912928509, -3120.14855469324, -3117.80418652448, -3078.75627366161, -3074.31048708244, -3155.866161235, -3160.10912928509, 6696.98122691047, 6698.75674888686, 6645.99350499343, 6650.36052920968, 6610.60835968785, 6601.48737016793, 6696.98122691047))"
161,Residental,20,"[547,586,720,748,756,769,801]",Central,"list(c(-1625.68377350245, -1586.07555129219, -1600.40701581936, -1640.01523802962, -1625.68377350245, 3684.81175667591, 3679.22706927708, 3577.58416770487, 3583.16885510369, 3684.81175667591))"
162,Commercial,NA,[839],Central,"list(c(-1636.14683376218, -1632.79987447268, -1541.4953442729, -1543.76235699512, -1636.14683376218, 4422.11226476168, 4515.74860835346, 4517.62107969887, 4428.86329519225, 4422.11226476168), c(-1594.17608672372, -1594.57913137624, -1582.82392231506, -1582.55177259592, -1594.17608672372, 4476.53229350409, 4465.25649828151, 4466.11551461052, 4476.7706846887, 4476.53229350409))"
163,Commercial,NA,NA,North-west,"list(c(-4386.34364143652, -4385.525590098, -4455.30524186279, -4456.12329320131, -4386.34364143652, 7016.99746237622, 6977.005828351, 6975.57844637677, 7015.570080402, 7016.99746237622))"
164,Commercial,182,"[893,895]",Central,"list(c(-1642.36355885107, -1642.38429863983, -1616.08766789833, -1616.7987963711, -1576.81275324207, -1575.01732294198, -1642.36355885107, 3852.56495243204, 3892.56494705531, 3892.5785817213, 3919.49116330368, 3920.54774026919, 3852.5998711044, 3852.56495243204))"
165,Residental,7,"[1080,1179,1194,1276]",North-west,"list(c(-2346.67030174504, -2345.42421180831, -2455.44631757047, -2456.6924075072, -2346.67030174504, 6235.87021797497, 6195.88963193788, 6192.46053165704, 6232.44111769413, 6235.87021797497))"
166,Commercial,NA,NA,Central,"list(c(-1425.27626774929, -1354.79870953005, -1355.21528647903, -1420.98709742103, -1425.27626774929, 4902.04214071965, 4891.21916478195, 4811.84343879098, 4812.15984517838, 4902.04214071965))"
167,Residental,5,"[68,347]",South,"list(c(-526.368556922533, -523.042436960947, -398.017509525829, -401.343629487414, -526.368556922533, 1213.27237761573, 1253.13384931462, 1242.70152233033, 1202.84005063144, 1213.27237761573))"
168,Residental,17,"[980,1022,1112,1164,1186,1242,1259]",North-west,"list(c(-3016.90930609899, -2977.14982944922, -2986.26511323943, -2967.03003402531, -2771.76848982589, -2771.85225496686, -3001.08879136228, -3026.45696190526, -3016.90930609899, 6159.56186246436, 6155.18190623892, 6072.43703520402, 5918.96170741822, 5913.80363031815, 5873.80371802573, 5881.54148426169, 6072.89209259666, 6159.56186246436))"
169,Residental,NA,NA,East,"list(c(2179.91114090807, 2140.40291092637, 2145.94493285231, 2129.89031039481, 2130.89664795489, 2090.90883152025, 2089.00300393289, 2193.71065640188, 2179.91114090807, 4400.5582750803, 4406.81125546674, 4441.82743387798, 4439.93099895669, 4399.16742509225, 4398.18023879309, 4475.37932855363, 4487.7478068031, 4400.5582750803))"
170,Commercial,NA,NA,Central,"list(c(-794.129559097155, -789.963977807045, -880.487286627541, -877.974850573378, -710.904349552471, -710.941726899469, -789.83537059594, -794.129559097155, 5931.9801580297, 5897.30420950616, 5886.42974989951, 5971.189480047, 5969.45257410863, 5905.76187241483, 5897.31881526099, 5931.9801580297))"
171,Commercial,NA,NA,Central,"list(c(-570.666151534534, -561.215359885465, -458.536430017303, -446.85113614882, -570.666151534534, 3890.15873138359, 3960.71284723014, 3961.52406455413, 3885.5241133651, 3890.15873138359))"
172,Commercial,NA,NA,Central,"list(c(-1530.67655781794, -1642.89470721342, -1645.80994892961, -1426.14638889994, -1252.14317105982, -1249.95972256622, -1289.93167989478, -1290.72914881824, -1530.67655781794, 4369.65955787389, 4361.45917434689, 4401.35279997475, 4416.00732250375, 4414.05849598966, 4355.77845989226, 4354.28091946744, 4375.56675138981, 4369.65955787389))"
173,Residental,NA,NA,South,"list(c(1170.23836221988, 1209.93813572366, 1190.15616380539, 1150.45639030161, 1170.23836221988, 647.479380963833, 642.587757128303, 482.039883657497, 486.931507493027, 647.479380963833))"
174,Commercial,NA,NA,Central,"list(c(-136.081955076926, -166.601745208405, -165.854961499025, -129.777113396649, -126.527980738741, -204.507957259116, -207.046290634677, -176.686513615666, -177.027178832517, -207.292055897461, -221.547697107371, -139.292439131263, -136.081955076926, 4814.00285764398, 4812.67991362236, 4789.03390745642, 4791.97416634402, 4752.10634552357, 4745.75116274305, 4826.12442999003, 4827.08324674492, 4834.94225721968, 4828.03410000424, 4890.48856003523, 4888.06744235667, 4814.00285764398))"
175,Commercial,NA,[1779],North-west,"list(c(-4040.24163433172, -4000.24684730576, -4001.63771569982, -4083.62324464592, -4086.17390285254, -4041.03641146932, -4040.24163433172, 5719.41714462744, 5718.77138093427, 5632.62921191694, 5627.39062404214, 5667.30921798923, 5670.19334544561, 5719.41714462744))"
176,Residental,13,"[535,548,575,629,686,767]",Central,"list(c(-1190.83183583086, -1150.83408306865, -1160.23656054141, -1233.15090866783, -1238.74117752257, -1198.74430293127, -1195.5895744352, -1190.83183583086, 4599.06389253691, 4598.63989492622, 4435.37160203617, 4433.87532252589, 4594.97321533875, 4595.47323826616, 4474.65454220434, 4599.06389253691))"
177,Residental,NA,NA,South,"list(c(159.033955595837, 113.913077033567, 113.397078819291, 150.686684318038, 153.158865326692, 70.7964684585161, 76.0875002274937, 246.508855871979, 248.880816513092, 208.892511138932, 207.464783219138, 159.033955595837, 1614.45478505549, 1611.85653645961, 1603.14647451151, 1605.45555520682, 1565.53202428756, 1560.4319054184, 1649.74464566079, 1654.47002491046, 1556.40050153558, 1555.43332352565, 1614.46322232595, 1614.45478505549))"
178,Residental,5,"[1362,1711]",North-west,"list(c(-3182.8275056553, -3186.5595437829, -3226.49031096648, -3225.47450461015, -3240.50095707791, -3243.87565945434, -3182.8275056553, 6414.71452180772, 6351.36537998324, 6353.71778983918, 6370.96050246259, 6369.68822127945, 6409.5456093508, 6414.71452180772))"
179,Commercial,NA,NA,North-west,"list(c(-3479.52054027603, -3439.61838160847, -3444.1710389162, -3529.13041766463, -3520.24497438599, -3481.2594465513, -3479.52054027603, 6145.45024250196, 6142.65422145956, 6077.68301720291, 6071.64537249508, 6126.90309629118, 6120.63422250367, 6145.45024250196))"
180,Commercial,NA,[399],East,"list(c(1596.44985843667, 1556.8163992568, 1544.23389788358, 1656.70375020396, 1656.84724021204, 1590.03410912072, 1596.44985843667, 4164.41761907085, 4159.01494256396, 4251.31883192697, 4251.72229202337, 4211.72254939148, 4211.48287243134, 4164.41761907085))"
181,Commercial,53,[449],East,"list(c(1454.1559612598, 1366.40440385891, 1361.06400543752, 1451.76246238851, 1454.1559612598, 3968.49040233757, 3971.50345173683, 4052.56074015845, 4047.34939757123, 3968.49040233757))"
182,Residental,10,"[1575,1608,1729,1732]",North-west,"list(c(-4131.69641130052, -3962.86936100442, -3954.29803388979, -4075.13833338733, -4185.95515274132, -4153.14345441762, -4114.60037414354, -4131.69641130052, 7436.41642939842, 7467.72529921784, 7428.65443601399, 7402.14461128298, 7390.48878961965, 7508.71216456458, 7498.01492365931, 7436.41642939842))"
183,Commercial,NA,"[1755,1788]",North-west,"list(c(-3498.09099479939, -3496.93787067884, -3368.6820927709, -3369.83521689146, -3498.09099479939, 7810.0538197889, 7850.0371951437, 7846.33828704018, 7806.35491168538, 7810.0538197889))"
184,Residental,16,"[1398,1461,1495,1514,1518,1550,1635]",North-west,"list(c(-3468.39481124747, -3425.14669300201, -3419.75523307802, -3508.97300702788, -3506.54802812143, -3417.96684622357, -3420.1768545138, -3467.22858319208, -3468.39481124747, 6461.74766697212, 6467.63061324069, 6427.9956266772, 6415.85952939387, 6584.37567917793, 6579.47406350083, 6539.5351618715, 6542.13875651748, 6461.74766697212))"
185,Commercial,NA,NA,Central,"list(c(-1860.30316820168, -1860.32395168624, -1738.5885356704, -1738.56775218585, -1860.30316820168, 5269.71117244406, 5309.71116704465, 5309.77441920665, 5269.77442460607, 5269.71117244406))"
186,Residental,15,"[1419,1441,1473,1498,1565,1663]",North-west,"list(c(-4229.51670471366, -4237.67722901383, -4169.33879228606, -4173.49192104114, -4210.10398721828, -4249.13765146151, -4213.29034984442, -4211.87046058083, -4229.51670471366, 5630.92226062403, 5670.08098689476, 5684.32244790901, 5601.11702741928, 5430.09324370989, 5438.83241161918, 5606.15304653045, 5634.59966838895, 5630.92226062403))"
187,Commercial,NA,"[1744,1777]",North-west,"list(c(-3544.62138914046, -3538.67335579789, -3578.55963260282, -3581.76116970778, -3629.12298954568, -3683.42162080149, -3686.72191874963, -3726.58516434515, -3720.40107529544, -3544.62138914046, 6821.32393064509, 6742.61277723949, 6739.59865669772, 6781.9650429785, 6782.79035363132, 6779.90253687533, 6740.093500462, 6743.39829252677, 6817.99235343632, 6821.32393064509))"
188,Residental,4,"[58,155,314]",South,"list(c(-1498.08920247244, -1458.27968303097, -1448.26206249094, -1488.0715819324, -1498.08920247244, 1004.11413732663, 1008.01313230475, 905.731220713814, 901.832225735692, 1004.11413732663))"
189,Residental,7,"[90,203,348]",East,"list(c(1322.92056578181, 1282.9209090837, 1283.25468149458, 1379.20205874637, 1378.53251678683, 1323.08651468943, 1322.92056578181, 3199.20105563253, 3199.36677839199, 3279.92772182762, 3278.32147691935, 3238.32708089235, 3239.25529655706, 3199.20105563253))"
190,Commercial,NA,[857],Central,"list(c(-1053.07006302197, -1138.85712882194, -1137.40976293798, -1097.41616550262, -1095.18034374513, -1097.49757401524, -1137.40897436439, -1138.60125392439, -1063.83186696853, -1053.07006302197, 4824.83192606294, 4825.29047836206, 4906.17477293968, 4905.45911647254, 4865.0575869704, 4906.98979412955, 4906.4811260306, 5000.03043046923, 4993.73676114464, 4824.83192606294))"
191,Residental,3,[1417],North-west,"list(c(-4566.55205991835, -4606.52993037368, -4603.79406427109, -4563.81619381577, -4566.55205991835, 4864.50653193376, 4865.83689799519, 4948.05043591061, 4946.72006984919, 4864.50653193376))"
192,Residental,4,"[744,750]",Central,"list(c(-1051.25960721762, -1051.93313145585, -979.642789975669, -976.042303639525, -1009.61001557565, -976.0374570014, -971.566986735954, -1044.9751849943, -1051.25960721762, 5162.38989017677, 5202.57412089635, 5196.7432841894, 5096.74100751915, 5095.53243415276, 5096.62509662618, 5002.75841440416, 5011.88029724086, 5162.38989017677))"
193,Residental,1,[988],Central,"list(c(-117.306800867362, -113.825584216397, -117.372211414292, -214.122955935297, -210.786704573039, -122.625120141239, -121.955264822665, -44.8118661718995, -44.5124942616983, -117.306800867362, 3451.96762969189, 3490.51357965331, 3451.97332071858, 3460.07115669229, 3499.93178171057, 3492.5528405619, 3530.66265339105, 3529.3067056169, 3445.39332674943, 3451.96762969189))"
194,Commercial,NA,NA,East,"list(c(1434.90240565011, 1429.96067082793, 1359.1059473945, 1348.72920838008, 1527.95304629975, 1522.6805520784, 1482.71017955131, 1486.32871668092, 1392.26216325609, 1396.01115403368, 1434.90240565011, 4431.61854226046, 4391.92497531382, 4400.74618441749, 4514.38397481424, 4524.18998431462, 4387.27769135684, 4388.81695093406, 4482.78048977699, 4477.51635559324, 4436.46039113359, 4431.61854226046))"
195,Residental,2,[288],South,"list(c(-1850.89958624354, -1890.89172667681, -1888.88967569535, -1654.75741684481, -1545.9922302923, -1537.81646712996, -1577.68741282229, -1583.33528449399, -1659.56903094094, -1849.68774376044, -1850.89958624354, 731.878999490289, 732.671907786054, 833.649920543427, 820.459260784783, 803.301167725271, 701.768879727415, 698.558320648456, 768.697501757336, 780.723645023136, 793.001042261227, 731.878999490289))"
196,Residental,NA,NA,Central,"list(c(-1828.79703268133, -1788.79743521013, -1788.49514579975, -1894.68400183538, -1902.4691553535, -1828.64275951748, -1828.79703268133, 2933.70179037144, 2933.88123992552, 2866.50043869057, 2845.43009608362, 2884.66517458105, 2899.31405123134, 2933.70179037144))"
197,Commercial,NA,NA,South,"list(c(-959.899638566618, -952.129121030568, -1082.4135952286, -1189.58184809575, -1198.34289943782, -1060.82924227492, -1057.63703416741, -1153.85361173926, -1084.30849348581, -959.899638566618, 1272.80316510366, 1233.56518532358, 1207.7642190887, 1218.70870368556, 1294.56234379723, 1305.57176386379, 1265.69934473228, 1257.99619188398, 1248.16578075799, 1272.80316510366))"
198,Commercial,NA,NA,Central,"list(c(-969.835931252148, -971.650676241606, -888.270038782194, -894.319212258172, -934.237119269186, -931.046255963817, -969.835931252148, 4205.86329615812, 4245.82210871083, 4249.60887274061, 4155.33557128911, 4157.89695760517, 4207.6249443247, 4205.86329615812))"
199,Residental,5,"[144,341,361]",South,"list(c(1265.21519638393, 1225.2319375909, 1221.8424883505, 1261.82574714353, 1265.21519638393, 1482.88755758761, 1481.73039887345, 1598.84590298331, 1600.00306169747, 1482.88755758761))"
200,Residental,4,"[19,373]",East,"list(c(2208.2153803842, 2248.14831160935, 2255.56825132071, 2215.63532009556, 2208.2153803842, 4627.77684643382, 4630.09223058489, 4502.12213022321, 4499.80674607214, 4627.77684643382))"
201,Commercial,NA,NA,Central,"list(c(395.441211256852, 391.35129141468, 431.304092443843, 449.647247467218, 410.052376696086, 395.441211256852, 4996.74961424823, 5080.86567436166, 5082.80827311699, 4900.23780752728, 4894.55923300392, 4996.74961424823))"
202,Residental,8,"[484,666]",Central,"list(c(-1084.84504860022, -1095.47074209544, -1173.38453631952, -1162.7588428243, -1084.84504860022, 3282.38594491803, 3243.8230788712, 3265.29161016421, 3303.85447621104, 3282.38594491803))"
203,Residental,12,"[930,1003,1047,1127,1189]",Central,"list(c(-1570.94322089782, -1579.08416197197, -1752.88627318598, -1748.49765449246, -1570.94322089782, 5621.88266550701, 5582.71986327802, 5610.16455212099, 5649.92307354676, 5621.88266550701))"
204,Commercial,NA,NA,Central,"list(c(-1521.32302762323, -1522.17895147309, -1482.18075580971, -1481.69018934759, -1425.6331705954, -1426.81667440574, -1521.32302762323, 4537.54476995764, 4627.6555294405, 4628.03545532078, 4576.38913598254, 4574.72981713602, 4534.74732948542, 4537.54476995764))"
205,Commercial,NA,"[878,891]",Central,"list(c(-1075.08930307979, -1069.66484951431, -1139.84307448665, -1131.94811434537, -1092.26385980937, -1093.62214416141, -1075.08930307979, 4486.4619226581, 4446.83143813525, 4437.22573870327, 4499.68737413589, 4494.67140544362, 4483.92522553986, 4486.4619226581))"
206,Commercial,NA,[1740],North-west,"list(c(-3804.61737121154, -3844.2619846564, -3839.95855491823, -3881.8431358396, -3883.28400406363, -3794.0063170189, -3804.61737121154, 5114.22548734215, 5119.54569643651, 5151.61357298625, 5150.10383913755, 5190.07787944825, 5193.29590247963, 5114.22548734215))"
207,Residental,4,[292],South,"list(c(-1458.30827722873, -1498.23217346125, -1504.4473328199, -1464.52343658739, -1458.30827722873, 1008.37131243918, 1005.90503799875, 1106.51564857642, 1108.98192301685, 1008.37131243918))"
208,Commercial,NA,NA,Central,"list(c(-549.485421165451, -544.523232778095, -584.413983606754, -586.524636303346, -657.685421093699, -663.012693653234, -702.817103854631, -694.314327132847, -549.485421165451, 5803.20221691145, 5736.2001605809, 5733.24584199181, 5761.74497580778, 5755.45790138233, 5701.78568070805, 5705.73649436082, 5791.40188944914, 5803.20221691145))"
209,Commercial,NA,NA,North-west,"list(c(-3615.42399976751, -3618.06873468271, -3539.87833264723, -3545.27290944088, -3615.42399976751, 4944.96986268364, 5021.35721805632, 5025.81020043776, 4943.31758844281, 4944.96986268364))"
210,Commercial,NA,NA,Central,"list(c(-2309.93639659639, -2230.56004077432, -2230.42109788533, -2312.58392368261, -2309.93639659639, 4752.07779771904, 4750.69923203832, 4650.71923584445, 4644.1949438493, 4752.07779771904))"
211,Commercial,NA,NA,South,"list(c(87.4817847861016, 127.39013023174, 119.145618025969, 79.2372725803306, 87.4817847861016, 374.400138196927, 371.693855914613, 250.115688223488, 252.821970505802, 374.400138196927))"
212,Residental,7,"[23,42,62,233]",South,"list(c(-581.327508131199, -455.011100749778, -457.54286315755, -376.312339559965, -394.127336838561, -575.559093456616, -654.169194843043, -657.003801476394, -581.327508131199, 1670.3966022076, 1698.86526571237, 1711.86422155546, 1727.68521429445, 1672.05241964222, 1630.7055948592, 1625.12083636812, 1665.02027251995, 1670.3966022076))"
213,Commercial,94,"[1782,1803]",North-west,"list(c(-3156.73551142479, -3154.7364429312, -3254.84809468326, -3256.84716317685, -3156.73551142479, 7181.47039878106, 7141.52038344742, 7136.51087225731, 7176.46088759095, 7181.47039878106))"
214,Commercial,NA,NA,Central,"list(c(-1550.32209980323, -1492.3198992167, -1494.83119920807, -1589.91493370645, -1590.93796344917, -1550.94033742551, -1550.32209980323, 6083.24464799012, 6079.59592676733, 6039.67483744911, 6045.65623188757, 6139.55193819099, 6139.98772767137, 6083.24464799012))"
215,Commercial,NA,NA,South,"list(c(-29.3910185785286, 110.162294271893, 113.376416460644, 153.313956220247, 148.105411602527, -30.8612161101437, -159.397263168828, -156.645540887422, -29.3910185785286, 1709.66286313378, 1711.80621037488, 1769.25309428159, 1767.01861045974, 1673.92486964791, 1669.66925571902, 1678.5326411257, 1718.43787918395, 1709.66286313378))"
216,Residental,8,"[915,1028,1038]",North-west,"list(c(-3600.17070747138, -3599.91186555048, -3559.92302937987, -3562.32072309636, -3647.05585479654, -3638.12591937236, -3600.17070747138, 5952.71905413354, 5963.67253350131, 5962.72755640123, 5861.26374187262, 5856.60396492377, 5956.12475063079, 5952.71905413354))"
217,Residental,6,"[53,355]",South,"list(c(-2009.88057515633, -2049.80735994775, -2042.00227116194, -2049.97891496536, -2010.10648742211, -2001.97718771119, -2009.88057515633, 1792.24330665456, 1794.66236767488, 2022.57228994758, 2122.20821906825, 2125.40032210676, 2023.85757433468, 1792.24330665456))"
218,Commercial,NA,NA,South,"list(c(782.273256239132, 775.781196718311, 735.936844650793, 738.547948254261, 684.076031090403, 676.476028218139, 636.886705608088, 649.21005496371, 782.273256239132, 2237.91611347553, 2164.53986846359, 2168.0651497743, 2197.57704459676, 2196.33797253721, 2143.71031663517, 2149.42744312295, 2234.76280422066, 2237.91611347553))"
219,Commercial,NA,NA,Central,"list(c(24.3257566189839, 19.876937824504, 99.8776186801675, 100.654544634122, 24.8895856127124, 24.3257566189839, 4281.88079170805, 4334.54911289404, 4335.80600350355, 4274.44292649076, 4275.205777978, 4281.88079170805))"
220,Commercial,NA,NA,Central,"list(c(-398.397195298091, -381.346473857794, -386.195185335704, -463.054505023013, -470.890437450708, -396.060252912184, -398.397195298091, 4280.73116760736, 4278.64896257461, 4238.94392514856, 4248.3298542324, 4317.84810183031, 4312.31049765239, 4280.73116760736))"
221,Residental,3,[792],Central,"list(c(-2229.21824846514, -2226.20179631546, -2127.19514507746, -2130.21159722714, -2229.21824846514, 4792.27682513498, 4832.16292567675, 4824.67538435527, 4784.78928381349, 4792.27682513498))"
222,Commercial,NA,NA,Central,"list(c(-1524.22935830397, -1484.24016975467, -1482.1920147023, -1522.1812032516, -1524.22935830397, 4715.86704865063, 4716.79699443861, 4628.72298020541, 4627.79303441742, 4715.86704865063))"
223,Residental,13,"[501,539,576,630,746]",Central,"list(c(-1298.26102412244, -1296.49843495095, -1391.17115751839, -1392.93374668988, -1298.26102412244, 3912.00010234028, 3872.03895521695, 3867.86317129569, 3907.82431841902, 3912.00010234028))"
224,Commercial,NA,NA,Central,"list(c(-1533.27706497927, -1531.60834981217, -1439.93758344025, -1358.87034705779, -1355.17344564238, -1434.3300411048, -1428.25856363368, -1396.85294529203, -1397.59840390902, -1492.32475193347, -1492.57045786788, -1432.16446930915, -1435.11122223989, -1533.27706497927, 4931.0071080911, 5019.51717837993, 5023.3911015781, 5016.23351279175, 4911.51116342042, 4923.66694675978, 4963.20347621442, 4958.38063245807, 4979.49728366347, 4981.14156680919, 4968.10911528379, 4963.64695242332, 4923.75564200156, 
4931.0071080911))"
225,Commercial,NA,[409],East,"list(c(1245.43308080915, 1167.32052952194, 1171.36366329408, 1247.53587147381, 1245.43308080915, 3967.65717962609, 3963.48568811785, 4049.31494195255, 4052.19559278361, 3967.65717962609))"
226,Residental,5,"[1599,1667]",North-west,"list(c(-3232.05705892083, -3236.48630713518, -3350.29108724818, -3359.0928300446, -3246.65245822153, -3249.82266812065, -3314.97015853663, -3313.4051831477, -3232.05705892083, 7715.50182171106, 7675.74780606162, 7688.42752183033, 7785.45051510348, 7776.51090477056, 7736.63673055723, 7741.8163041307, 7724.56533461878, 7715.50182171106))"
227,Commercial,NA,[400],South,"list(c(787.767617964928, 796.739997206259, 714.514477708317, 709.891764364489, 746.724068958866, 736.088243323615, 775.894517383811, 787.767617964928, 1729.69676135986, 1628.98553480558, 1634.45783644646, 1736.62401620015, 1738.2905675613, 1845.96443980817, 1849.89642981892, 1729.69676135986))"
228,Commercial,NA,NA,Central,"list(c(-1940.22786203731, -1930.77397999508, -1891.00443136163, -1895.00551762836, -1887.99404516932, -1940.22786203731, 3448.90435274441, 3536.59486962517, 3532.30732936396, 3495.19481608666, 3459.03168209952, 3448.90435274441))"
229,Commercial,NA,NA,Central,"list(c(451.533685927547, 451.386596016315, 492.095267129937, 492.367211059261, 410.32779606939, 412.557988544959, 500.074229838324, 500.085861476839, 451.533685927547, 4651.96703240131, 4646.29917801679, 4646.57594631261, 4606.57687074205, 4606.01910482988, 4691.95570031144, 4691.98114924459, 4651.98115093578, 4651.96703240131))"
230,Commercial,NA,[395],South,"list(c(264.37794427693, 304.369917005846, 304.420592096282, 343.04457339765, 343.097933874473, 265.900017647408, 264.37794427693, 1869.02807995773, 1868.22675776934, 1714.53600373538, 1714.5875286327, 1674.58756422447, 1674.48458119235, 1869.02807995773))"
231,Commercial,NA,NA,East,"list(c(782.305538050261, 782.246507116465, 699.9007661908, 699.959797124596, 782.305538050261, 3715.14697516175, 3675.14701871991, 3675.26854250177, 3715.2684989436, 3715.14697516175))"
232,Commercial,NA,NA,Central,"list(c(-1488.19451342885, -1528.14787354695, -1532.91978657334, -1445.41451385106, -1439.48692859023, -1479.48666588961, -1480.50456373702, -1483.680927365, -1490.78406583824, -1488.19451342885, 4814.12737745885, 4812.19631162004, 4910.92622323873, 4904.46224860055, 4624.49714720626, 4624.64211610243, 4800.61726290851, 4867.17998541831, 4867.70469102191, 4814.12737745885))"
233,Residental,7,"[41,197]",South,"list(c(-1919.10645279524, -1959.10644574035, -1959.04602909235, -1908.88708364096, -1910.88779689344, -1919.10645279524, 733.057404877502, 733.081161787656, 834.805901174747, 833.978903275582, 733.068361933936, 733.057404877502))"
234,Commercial,73,[1799],North-west,"list(c(-3953.77531487424, -3962.48075157171, -3852.61283668733, -3843.90739998986, -3953.77531487424, 5936.0671676636, 5975.10836861729, 5999.60679988336, 5960.56559892968, 5936.0671676636))"
235,Residental,14,"[1357,1476,1645,1665,1682]",North-west,"list(c(-4359.73450551759, -4363.64944175816, -4285.51482846721, -4281.59989222664, -4359.73450551759, 5039.68020523602, 5079.48816014747, 5087.17235366849, 5047.36439875704, 5039.68020523602))"
236,Commercial,NA,NA,Central,"list(c(-1420.36288857821, -1355.83789686037, -1359.81984627686, -1419.15677421181, -1420.36288857821, 4792.15661089249, 4791.84620253922, 4720.39850959656, 4716.08025412778, 4792.15661089249))"
237,Residental,7,"[134,142]",East,"list(c(1956.02364278542, 1953.77297144369, 2042.93779751457, 2045.18846885629, 1956.02364278542, 5299.99798779372, 5339.9346185794, 5344.95959727138, 5305.0229664857, 5299.99798779372))"
238,Commercial,72,"[859,894]",Central,"list(c(-1682.52150381175, -1646.65313035685, -1643.21732519448, -1725.93423867731, -1720.72985731255, -1680.84242842539, -1682.52150381175, 3889.28781565577, 3892.3801629699, 3852.52799561496, 3845.39665954912, 3914.61998430531, 3911.62114840254, 3889.28781565577))"
239,Residental,2,[111],South,"list(c(-1870.97322567265, -1830.97869445093, -1832.58887888163, -1872.58341010335, -1870.97322567265, 1894.2881476812, 1893.62673075153, 1796.26216598565, 1796.92358291532, 1894.2881476812))"
240,Commercial,NA,[1322],Central,"list(c(-1528.1444821321, -1488.17755635463, -1484.26799821945, -1524.23492399693, -1528.1444821321, 4812.12011956142, 4813.74641716578, 4717.66743420907, 4716.04113660472, 4812.12011956142))"
